year,country,historical_name,transition_group,team_score,total_medals,avg_score,best_rank,transition_status
1959,Taiwan,Taiwan,No Change,149,6,24.833333333333332,29,Stable
1959,Tajikistan,Tajikistan,No Change,80,2,13.333333333333334,182,Stable
1959,Thailand,Thailand,No Change,116,4,19.333333333333332,100,Stable
1959,Trinidad and Tobago,Trinidad and Tobago,No Change,37,0,7.4,327,Stable
1959,Tunisia,Tunisia,No Change,67,1,11.166666666666666,238,Stable
1959,Turkmenistan,Turkmenistan,No Change,107,4,17.833333333333332,125,Stable
1959,Türkiye,Türkiye,No Change,151,6,25.166666666666668,13,Stable
1959,Uganda,Uganda,No Change,22,0,3.6666666666666665,475,Stable
1959,Ukraine,Ukraine,No Change,113,5,18.833333333333332,125,Stable
1959,United Arab Emirates,United Arab Emirates,No Change,1,0,0.25,565,Stable
1959,United Kingdom,United Kingdom,No Change,162,6,27,5,Stable
1959,United States of America,United States of America,No Change,192,6,32,3,Stable
1959,Uruguay,Uruguay,No Change,48,0,8,327,Stable
1959,Uzbekistan,Uzbekistan,No Change,110,5,18.333333333333332,100,Stable
1959,Venezuela,Venezuela,No Change,14,0,4.666666666666667,400,Stable
1959,Vietnam,Vietnam,No Change,118,5,19.666666666666668,100,Stable
1960,Albania,Albania,No Change,51,1,8.5,252,Stable
1960,Algeria,Algeria,No Change,86,1,14.333333333333334,47,Stable
1960,Argentina,Argentina,No Change,90,4,15,82,Stable
1960,Armenia,Armenia,No Change,113,5,18.833333333333332,182,Stable
1960,Australia,Australia,No Change,113,4,18.833333333333332,29,Stable
1960,Austria,Austria,No Change,127,5,21.166666666666668,90,Stable
1960,Azerbaijan,Azerbaijan,No Change,64,1,10.666666666666666,252,Stable
1960,Bangladesh,Bangladesh,No Change,83,2,13.833333333333334,216,Stable
1960,Belarus,Belarus,No Change,165,6,27.5,11,Stable
1960,Belgium,Belgium,No Change,80,3,13.333333333333334,147,Stable
1960,Bhutan,Bhutan,No Change,8,0,1.6,487,Stable
1960,Bolivia,Bolivia,No Change,26,1,6.5,252,Stable
1960,Bosnia and Herzegovina,Bosnia and Herzegovina,No Change,144,6,24,19,Stable
1960,Botswana,Botswana,No Change,15,0,2.5,487,Stable
1960,Brazil,Brazil,No Change,134,6,22.333333333333332,47,Stable
1960,Bulgaria,Bulgaria,No Change,126,5,21,90,Stable
1960,Canada,Canada,No Change,131,5,21.833333333333332,76,Stable
1960,Chile,Chile,No Change,17,0,8.5,366,Stable
