transition_group,affected_countries,countries,avg_pre_score,avg_post_score,score_change_pct
Yugoslav Dissolution,3,"Bosnia and Herzegovina, Croatia, Slovenia",117.33333333333333,117.33333333333333,0
Czech-Slovak Split,2,"Czech Republic, Slovakia",109.5,109.5,0
